name,itad_id,is_free,has_discount,discount_pct,current_price,regular_price,best_shop,history_low_all,history_low_y1,history_low_m3
TDP5 Arena 3D,018d937f-27e9-72a8-9365-d3058cf868a1,True,,,0.0,0.0,Steam,,,
Night Reverie: Prologue,018d937f-4868-7372-a682-686201566bc0,True,,,0.0,0.0,Steam,,,
The Mahjong Huntress,018d937f-0a18-720e-ac4b-318b2a5727a1,False,False,0.0,4.99,4.99,MacGameStore,0.37,0.84,0.84
Evil Bank Manager,018d937f-11ca-714c-a561-176ce474ce66,False,False,0.0,11.99,11.99,Steam,5.75,5.99,5.99
Fear the Night - 恐惧之夜,018d937f-00f0-734f-b5d3-6148ae5ca0c3,,,,,,,,,
Happy Bones,018d937f-4b2b-7202-b9f7-a28f8c8ddc83,False,False,0.0,3.99,3.99,Steam,0.99,3.99,3.99
Night Gate,018d937f-6612-70e0-abaf-781af6e06bb4,,,,,,,,,
Breakpoint,018d937f-4259-72b2-b790-cf59404e7665,False,True,85.0,0.74,4.99,Humble Store,0.74,0.74,0.74
DRONE The Game,018d967d-37b6-73e5-b7c5-b26bee52ad5b,,,,,,,,,
Cool People Club,018d937f-6775-70d3-af5c-1f83aba9374d,True,,,0.0,0.0,Steam,4.99,,
Killer Klownz,018d937f-03b2-7398-bb4b-ac0044a9935c,False,False,0.0,4.99,4.99,Steam,0.31,0.49,0.49
CatTuber,018d937f-64a9-72b1-9fdf-b1561412df5e,False,False,0.0,4.99,4.99,Steam,4.99,4.99,4.99
Dominions 4: Thrones of Ascension,018d937f-35e4-72c3-a2c8-666d590ef241,False,False,0.0,34.99,34.99,Steam,5.24,6.56,6.99
Return the Backrooms,018d937f-669d-73f9-a24d-6adedde424d7,False,False,0.0,3.99,3.99,Steam,1.49,1.49,1.59
Mount Your Friends 3D: A Hard Man is Good to Climb,018d937f-138c-736d-984a-869e39fd8748,False,False,0.0,6.99,6.99,Steam,1.39,2.79,2.79
The Spiral Scouts,018d937f-1ec3-73ad-af3e-2c5630eebeef,False,True,80.0,1.99,9.99,Humble Store,1.6,1.6,1.6
GRUNND,018d937f-4a01-73b3-9940-085f45fd3312,False,True,80.0,2.99,14.99,IndieGala Store,1.97,1.97,1.97
pyramida,018d937f-45ee-7003-9ff6-a8c64551734f,False,True,50.0,1.49,2.99,Steam,1.49,1.49,1.49
Tower of Madness,0191863e-74dc-70d3-b4fe-7af79c3736d3,False,False,0.0,4.99,4.99,Steam,2.99,2.99,2.99
Jets'n'Guns 2,018d937f-2a0b-7215-8390-ed28c23c0942,False,True,80.0,2.99,14.99,IndieGala Store,2.99,2.99,2.99
Slavistan,018d937f-24a5-719c-aaf0-4988b35db2bc,False,False,0.0,2.99,2.99,Steam,0.35,0.59,0.59
Hexen: Deathkings of the Dark Citadel,018d937f-331a-711c-be5f-629ba3282ff9,,,,,,,,,
Home Sheep Home: Farmageddon Party Edition,018d937f-3a26-7089-b848-93374c0bed9a,False,False,0.0,9.99,9.99,GreenManGaming,1.49,1.49,1.49
UNREAL LIFE,018d937f-4818-71e9-8370-c6b580fe7ccc,False,True,40.0,11.99,19.99,GamersGate,7.49,7.49,11.99
Asgard's Fall — Viking Survivors,0194dad4-c2a3-7303-8bed-28d4d2eb831b,False,True,33.0,4.68,6.99,Humble Store,4.68,4.68,4.68
道衍诀,018d937f-7b47-7024-9d0a-336301dee3c3,False,False,0.0,11.99,11.99,Steam,10.19,11.99,11.99
REDCON,018d937f-07cf-7276-9975-8dc3d18753ae,False,False,0.0,14.99,14.99,Steam,2.99,7.49,14.99
The 7th Guest,018d957f-ea60-709e-8bfa-117eb680664f,,,,,,,,,
Geneforge 3,018d937f-1780-7393-9b07-7e51696b0c5d,,,,,,,,,
Crazy Buggy Racing,018d937f-0c57-7320-8b38-7f8e1975a868,False,True,86.0,0.69,4.99,IndieGala Store,0.49,0.69,0.69
Batman: Arkham Asylum Game of the Year Edition,018d937f-083f-702e-9c07-4813977240a8,False,True,88.0,2.45,19.99,GameBillet,0.5,2.45,2.45
POOSTALL Royale,018d937f-6c8c-71fa-83af-fcf40a6b39b7,True,,,0.0,0.0,Steam,,,
Half Minute Hero: The Second Coming,018d937f-37f8-7146-8f5f-d9bb8ab72b1f,False,False,0.0,9.99,9.99,Steam,1.99,9.99,9.99
AquaNox 2: Revelation,018d937f-343f-72e1-b6fd-595e31613d82,False,True,78.0,1.09,4.99,Steam,0.49,0.95,1.01
Stories One,018d937f-74a7-71a2-a050-de07c0b91a1a,True,,,0.0,0.0,Steam,,,
Space Rogue,018d937f-2097-72eb-b7bb-ba76927cd418,False,False,0.0,9.99,9.99,Steam,0.99,9.99,9.99
1000 days to escape,018d937f-09f1-721f-8fe8-2d8ab0a26fb7,False,True,50.0,2.49,4.99,Steam,1.74,1.74,1.74
Shotgun Legend,018d937f-360e-7114-ab47-bcf79001b5fb,False,False,0.0,0.99,0.99,Steam,0.28,0.49,0.49
Diddy,0192962a-9557-7274-9459-7a4ac4061fca,,,,,,,,,
Avalom: Ancestral Heroes,018d937f-4980-732b-9e76-e51703c048e4,,,,,,,,,
Game Character Hub,018d937f-154d-7270-9570-dffb2643ef3c,False,False,0.0,14.99,14.99,Steam,1.79,11.99,11.99
Knights of Pen and Paper 3,018d937f-6b91-7040-9dcf-645891e8530b,,,,,,,,,
ANKI,018d937e-f083-72b5-bfdf-5459a4af32b6,False,False,0.0,0.99,0.99,IndieGala Store,0.49,0.79,0.79
Tiki Man,018d937f-20c7-7346-8e13-3abd14973cc5,False,False,0.0,0.99,0.99,IndieGala Store,0.23,0.89,0.89
Westboro,018d937f-2430-7274-91e8-57b9e1deaeda,False,False,0.0,3.99,3.99,Steam,0.39,0.67,0.67
Isles of Sea and Sky,018d937f-759f-7158-9103-4a3599d3086c,False,False,0.0,19.99,19.99,Steam,3.99,3.99,3.99
Spaceslingers,018d937f-443c-7175-bcb0-5cc2e5f334b8,False,False,0.0,1.99,1.99,Steam,0.99,1.99,1.99
Zoochosis,018d937f-7b09-7107-b43d-0685d73569d4,False,True,52.0,11.99,24.99,Steam,11.99,11.99,11.99
Strife: The Expanse,018d937f-4ebd-705e-90b9-e2bdc34859d0,False,False,0.0,1.99,1.99,Steam,0.37,0.55,1.99
Orwell's Animal Farm,018d937f-4625-70bc-aa70-eb6cef57c636,False,True,90.0,0.99,9.99,GOG,0.99,0.99,0.99
Real Zombie War Simulator,018d937f-6b32-73bc-a92f-7b936551672b,False,False,0.0,0.99,0.99,Steam,0.49,0.49,0.49
HOLE,018d937f-15cc-724a-9f05-0c0f4128c395,False,False,0.0,4.99,4.99,Steam,0.28,3.99,3.99
Lost Skies,018d937f-6e74-71c6-80bf-00e2712b46c4,False,True,30.0,17.49,24.99,Humble Store,17.49,17.49,17.49
OVIVO,018d937f-1066-714b-a074-2dfc544d37b1,False,False,0.0,9.99,9.99,Steam,0.49,0.99,1.99
Super Toy Cars,018d937f-045e-71ff-97f3-d249730fe7c1,False,False,0.0,9.99,9.99,MacGameStore,0.75,0.99,0.99
AR-K,018d937f-1b2c-7361-aba6-3874c47e241f,False,False,0.0,7.99,7.99,Fanatical,0.79,7.99,7.99
Bodycam:Adrenaline,0196220a-691b-723f-a28b-f09addffcbc7,,,,,,,,,
Multiverse Loot Hunter,018dd3cc-aadd-72d3-8382-0cc0d4392af4,False,False,0.0,11.99,11.99,Steam,10.79,10.79,10.79
War Mongrels,018d937f-4654-73b1-bdc8-f2609fb3d78a,False,True,84.0,7.19,44.99,Fanatical,3.82,3.82,3.82
Sunrider Academy,018d937f-1640-719e-a097-f3d4df258f19,False,True,84.0,1.6,9.99,GreenManGaming,0.99,1.6,1.6
Geneforge 4: Rebellion,018d937e-ff0c-7337-9c10-b3d1d8a663eb,,,,,,,,,
Apollo 11 VR,018d937e-f516-73b3-a450-a33e56a8a8cb,False,False,0.0,9.69,9.69,Steam,4.84,9.69,9.69
Insanity's Blade,018d937f-30f5-7387-ae56-283e8b4aa544,False,True,75.0,1.49,5.99,Steam,0.89,0.89,1.49
